participant_id,summary,code_1,code_2,code_3,valence,condition_mentioned
P01,"Version B helped more because it explained the role of the symbols instead of only reading the notation. Version A was shorter, but it was harder to remember what each symbol meant without extra context. Version B was easier because it gave semantic clues, though it took a little longer to listen to.",semantic_clarity,notation_confusion,cognitive_load_high,positive,mathontospeak_semantic
P02,"Version B helped me understand better because it made the expression feel less like random symbols and more like a math idea. Version A was quick, but I had to guess more about what the symbols were doing. Version B was easier because it explained the meaning, but some parts felt a little slower than necessary.",semantic_clarity,notation_confusion,symbol_role_helpful,positive,mathontospeak_semantic
P03,"Version B helped more because it gave enough context to understand what the expression was about. Version A was easier to listen to because it was shorter, but it did not explain the purpose of the notation. Version B was easier because it described the math terms, especially for the harder expressions.",semantic_clarity,notation_confusion,audio_preference_semantic,positive,mathontospeak_semantic
P04,"Version B helped better because it explained the expression in a way that was easier to follow. Version A was concise, but it was harder when the expression had more than one symbol or operation. Version B was easier because it connected the symbols to their meaning, although it was a bit longer.",semantic_clarity,notation_confusion,symbol_role_helpful,positive,mathontospeak_semantic
P05,"Version B helped me understand better because it explained what the notation represented. Version A was faster, but it felt harder for expressions like limits or determinants. Version B was easier because it gave more context, especially when the notation was unfamiliar.",semantic_clarity,notation_confusion,symbol_role_helpful,positive,mathontospeak_semantic
P06,"Version A was shorter, but it was harder to remember what each symbol meant without extra context. Version B was easier because it gave semantic clues, though it took a little longer to listen to. Version B helped more because it explained the role of the symbols instead of only reading the notation.",semantic_clarity,notation_confusion,cognitive_load_high,positive,mathontospeak_semantic
P07,"Version B helped more because it gave enough context to understand what the expression was about. Version B was easier because it described the math terms, especially for the harder expressions. Version A was easier to listen to because it was shorter, but it did not explain the purpose of the notation.",semantic_clarity,notation_confusion,audio_preference_semantic,positive,mathontospeak_semantic
P10,"Version A was concise, but it was harder when the expression had more than one symbol or operation. Version B helped better because it explained the expression in a way that was easier to follow Version B was easier because it connected the symbols to their meaning, although it was a bit longer.",semantic_clarity,notation_confusion,symbol_role_helpful,positive,mathontospeak_semantic
P08,"Version B helped more because it explained the role of the symbols instead of only reading the notation. Version A was shorter, but it was harder to remember what each symbol meant without extra context. Version B was easier because it gave semantic clues",semantic_clarity,notation_confusion,cognitive_load_high,positive,mathontospeak_semantic
P09,"Version A was faster, but it felt harder for expressions like limits or determinants. Version B was easier because it connected the symbols to their meaning, although it was a bit longer. Version B was easier because it connected the symbols to their meaning, although it was a bit longer.",semantic_clarity,notation_confusion,symbol_role_helpful,mixed,mathontospeak_semantic
