participant_id,condition,mental,physical,temporal,performance,effort,frustration,raw_tlx_mean
P01,notation_only,50,50,50,50,50,50,50.0
P01,mathontospeak_semantic,50,50,50,50,50,50,50.0
P02,mathontospeak_semantic,72,66,50,36,64,60,58.0
P02,notation_only,71,66,63,62,40,65,61.166666666666664
P03,notation_only,64,87,80,70,61,26,64.66666666666667
P03,mathontospeak_semantic,40,63,64,64,20,77,54.666666666666664
P04,mathontospeak_semantic,82,70,61,62,60,36,61.833333333333336
P04,notation_only,79,41,72,72,71,30,60.833333333333336
P05,notation_only,36,87,89,89,82,71,75.66666666666667
P05,mathontospeak_semantic,63,65,37,59,40,65,54.833333333333336
P06,mathontospeak_semantic,69,43,78,71,81,71,68.83333333333333
P06,notation_only,71,64,76,74,76,25,64.33333333333333
P07,notation_only,88,60,58,58,66,30,60.0
P07,mathontospeak_semantic,65,75,72,70,65,64,68.5
P10,mathontospeak_semantic,50,67,68,85,79,74,70.5
P10,notation_only,81,69,68,79,71,63,71.83333333333333
P08,mathontospeak_semantic,79,75,76,91,87,76,80.66666666666667
P08,notation_only,50,50,50,50,50,50,50.0
P09,notation_only,50,16,98,16,89,81,58.333333333333336
P09,mathontospeak_semantic,74,79,83,79,69,64,74.66666666666667
